epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,40125.9,0.50768,0.4168,0.95297,0.68009,0.69354,0.74379,0.6251,0.88193,1.35765,1.35029,0.000687222,0.000687222,0.000687222
97,40506.5,0.4993,0.41946,0.94878,0.67982,0.69463,0.74454,0.6258,0.88103,1.35951,1.35033,0.000681424,0.000681424,0.000681424
98,40886.3,0.5017,0.41581,0.95205,0.68019,0.69474,0.74467,0.62614,0.88018,1.36106,1.35052,0.000675598,0.000675598,0.000675598
99,41266.6,0.49666,0.41386,0.94731,0.6787,0.69508,0.74538,0.62689,0.87976,1.36143,1.35102,0.000669746,0.000669746,0.000669746
100,41646.6,0.49442,0.41582,0.94713,0.67878,0.69494,0.74607,0.6277,0.87906,1.36419,1.35161,0.000663867,0.000663867,0.000663867
101,42026.2,0.49316,0.4092,0.94668,0.67872,0.69483,0.74586,0.6277,0.87841,1.36538,1.35171,0.000657963,0.000657963,0.000657963
102,42405.5,0.49245,0.41312,0.94655,0.6793,0.69508,0.74616,0.62841,0.87789,1.36715,1.35204,0.000652036,0.000652036,0.000652036
103,42784.7,0.49441,0.41279,0.94688,0.68001,0.69535,0.74717,0.62879,0.8779,1.37032,1.35265,0.000646085,0.000646085,0.000646085
104,43163.7,0.48737,0.40776,0.94546,0.67946,0.69699,0.7469,0.62842,0.87676,1.37342,1.35238,0.000640111,0.000640111,0.000640111
105,43544.5,0.4843,0.40432,0.94155,0.67977,0.69716,0.7478,0.62945,0.87569,1.37791,1.3518,0.000634117,0.000634117,0.000634117
106,43927.9,0.48187,0.40455,0.94077,0.68011,0.69691,0.7477,0.63003,0.87519,1.38194,1.35229,0.000628101,0.000628101,0.000628101
107,44323.2,0.48084,0.40333,0.94005,0.67827,0.698,0.74729,0.63,0.87426,1.38388,1.35213,0.000622067,0.000622067,0.000622067
108,44806.2,0.47715,0.40204,0.93576,0.67752,0.69629,0.74655,0.63053,0.87375,1.38477,1.35218,0.000616014,0.000616014,0.000616014
109,45360.7,0.47574,0.40137,0.9387,0.67663,0.69565,0.74643,0.63096,0.87328,1.38446,1.35244,0.000609944,0.000609944,0.000609944
110,45934.2,0.47502,0.40068,0.93785,0.67716,0.69522,0.74611,0.63094,0.8727,1.38609,1.35281,0.000603856,0.000603856,0.000603856
111,46783.8,0.47826,0.40299,0.9381,0.67658,0.69463,0.74586,0.6313,0.8718,1.38612,1.35264,0.000597754,0.000597754,0.000597754
112,47240.8,0.47096,0.39705,0.9319,0.67749,0.69565,0.74622,0.63173,0.87112,1.3863,1.3525,0.000591636,0.000591636,0.000591636
113,47633.3,0.47475,0.39923,0.93523,0.67678,0.69536,0.74647,0.63194,0.8704,1.38707,1.35307,0.000585505,0.000585505,0.000585505
114,48026.1,0.46886,0.39777,0.93142,0.67734,0.69463,0.74678,0.63207,0.86969,1.38693,1.3537,0.000579362,0.000579362,0.000579362
115,48422.4,0.46744,0.39565,0.93171,0.67744,0.69407,0.74679,0.63234,0.86862,1.38789,1.3539,0.000573206,0.000573206,0.000573206
