======================================================================
SHOPLIFTING DETECTION LOG
Date: 2026-03-14 11:01:05
Source: C:\Users\vrajr\Downloads\WhatsApp Video 2026-03-10 at 00.45.09.mp4
Confidence: 0.15
Strategy: Best-of-Both-Models
======================================================================

Frame    106 | normal          | Conf: 0.6062 | Model: Stable Model (150ep)           | Box: [459, 81, 564, 365]
Frame    107 | normal          | Conf: 0.7790 | Model: Fast Model (best)              | Box: [458, 103, 564, 371]
Frame    107 | normal          | Conf: 0.6539 | Model: Stable Model (150ep)           | Box: [458, 84, 563, 366]
Frame    108 | normal          | Conf: 0.8036 | Model: Fast Model (best)              | Box: [456, 97, 563, 369]
Frame    108 | normal          | Conf: 0.6708 | Model: Stable Model (150ep)           | Box: [454, 86, 561, 362]
Frame    109 | normal          | Conf: 0.7858 | Model: Fast Model (best)              | Box: [455, 98, 562, 369]
Frame    109 | normal          | Conf: 0.6609 | Model: Stable Model (150ep)           | Box: [454, 86, 563, 360]
Frame    110 | normal          | Conf: 0.8086 | Model: Fast Model                     | Box: [454, 98, 567, 370]
Frame    110 | normal          | Conf: 0.6368 | Model: Stable Model (150ep)           | Box: [453, 86, 563, 361]
Frame    111 | normal          | Conf: 0.8084 | Model: Fast Model (best)              | Box: [453, 94, 569, 369]
Frame    111 | normal          | Conf: 0.6356 | Model: Stable Model (150ep)           | Box: [454, 86, 562, 362]
Frame    112 | normal          | Conf: 0.8037 | Model: Fast Model (best)              | Box: [452, 92, 571, 371]
Frame    112 | normal          | Conf: 0.5513 | Model: Stable Model (150ep)           | Box: [452, 88, 562, 363]
Frame    113 | normal          | Conf: 0.8135 | Model: Fast Model (best)              | Box: [452, 96, 569, 373]
Frame    113 | normal          | Conf: 0.5392 | Model: Stable Model (150ep)           | Box: [450, 91, 561, 366]
Frame    114 | normal          | Conf: 0.7775 | Model: Fast Model (best)              | Box: [451, 92, 567, 373]
Frame    114 | normal          | Conf: 0.5643 | Model: Stable Model (150ep)           | Box: [450, 88, 561, 365]
Frame    115 | normal          | Conf: 0.7653 | Model: Fast Model (best)              | Box: [452, 86, 568, 372]
Frame    115 | normal          | Conf: 0.5755 | Model: Stable Model (150ep)           | Box: [452, 85, 563, 364]
Frame    116 | normal          | Conf: 0.7544 | Model: Fast Model (best)              | Box: [452, 80, 565, 370]
Frame    116 | normal          | Conf: 0.5798 | Model: Stable Model (150ep)           | Box: [454, 85, 565, 362]
Frame    117 | normal          | Conf: 0.7664 | Model: Fast Model (best)              | Box: [452, 82, 565, 369]
Frame    117 | normal          | Conf: 0.5376 | Model: Stable Model (150ep)           | Box: [454, 85, 564, 362]
Frame    118 | normal          | Conf: 0.8021 | Model: Fast Model (best)              | Box: [454, 90, 562, 366]
Frame    118 | normal          | Conf: 0.4805 | Model: Stable Model (150ep)           | Box: [453, 86, 565, 364]
Frame    119 | normal          | Conf: 0.8052 | Model: Fast Model (best)              | Box: [455, 90, 563, 367]
Frame    119 | normal          | Conf: 0.4278 | Model: Stable Model (150ep)           | Box: [456, 87, 565, 368]
Frame    120 | normal          | Conf: 0.8170 | Model: Fast Model (best)              | Box: [456, 92, 572, 365]
Frame    120 | normal          | Conf: 0.6133 | Model: Stable Model (150ep)           | Box: [455, 86, 564, 362]
Frame    121 | normal          | Conf: 0.8228 | Model: Fast Model (best)              | Box: [456, 95, 575, 364]
Frame    121 | normal          | Conf: 0.6442 | Model: Stable Model (150ep)           | Box: [456, 86, 564, 358]
Frame    122 | normal          | Conf: 0.8352 | Model: Fast Model (best)              | Box: [458, 99, 576, 363]
Frame    122 | normal          | Conf: 0.5467 | Model: Stable Model (150ep)           | Box: [460, 86, 572, 361]
Frame    123 | normal          | Conf: 0.8383 | Model: Fast Model (best)              | Box: [459, 101, 575, 363]
Frame    123 | normal          | Conf: 0.5502 | Model: Stable Model (150ep)           | Box: [461, 86, 574, 361]
Frame    124 | normal          | Conf: 0.8515 | Model: Fast Model (best)              | Box: [460, 100, 575, 363]
Frame    124 | normal          | Conf: 0.6012 | Model: Stable Model (150ep)           | Box: [460, 86, 574, 364]
Frame    125 | normal          | Conf: 0.8462 | Model: Fast Model (best)              | Box: [460, 98, 576, 366]
Frame    125 | normal          | Conf: 0.6121 | Model: Stable Model (150ep)           | Box: [459, 86, 572, 369]
Frame    126 | normal          | Conf: 0.8421 | Model: Fast Model (best)              | Box: [460, 96, 576, 369]
Frame    126 | normal          | Conf: 0.6098 | Model: Stable Model (150ep)           | Box: [459, 86, 570, 368]
Frame    127 | normal          | Conf: 0.8409 | Model: Fast Model (best)              | Box: [460, 97, 576, 370]
Frame    127 | normal          | Conf: 0.6053 | Model: Stable Model (150ep)           | Box: [460, 85, 569, 369]
Frame    128 | normal          | Conf: 0.8229 | Model: Fast Model (best)              | Box: [459, 96, 571, 372]
Frame    128 | normal          | Conf: 0.4932 | Model: Stable Model (150ep)           | Box: [460, 86, 567, 369]
Frame    129 | normal          | Conf: 0.8058 | Model: Fast Model (best)              | Box: [458, 93, 568, 372]
Frame    129 | normal          | Conf: 0.3785 | Model: Stable Model (150ep)           | Box: [459, 88, 563, 370]
Frame    130 | normal          | Conf: 0.7916 | Model: Fast Model (best)              | Box: [457, 86, 576, 375]
Frame    131 | normal          | Conf: 0.8201 | Model: Fast Model (best)              | Box: [456, 90, 575, 383]
Frame    132 | normal          | Conf: 0.7491 | Model: Fast Model (best)              | Box: [454, 102, 573, 383]
Frame    133 | shoplifting     | Conf: 0.7319 | Model: Stable Model (150ep) (best)    | Box: [452, 90, 558, 399]
Frame    134 | normal          | Conf: 0.6771 | Model: Fast Model (best)              | Box: [453, 88, 575, 380]
Frame    135 | normal          | Conf: 0.6216 | Model: Fast Model (best)              | Box: [453, 96, 571, 375]
Frame    136 | product-picked  | Conf: 0.5168 | Model: Fast Model                     | Box: [452, 95, 567, 373]
Frame    136 | shoplifting     | Conf: 0.6283 | Model: Stable Model (150ep)           | Box: [449, 118, 550, 398]
Frame    137 | product-picked  | Conf: 0.7699 | Model: Fast Model                     | Box: [452, 96, 563, 374]
Frame    137 | product         | Conf: 0.1990 | Model: Fast Model                     | Box: [532, 192, 546, 223]
Frame    137 | shoplifting     | Conf: 0.5528 | Model: Stable Model (150ep)           | Box: [447, 128, 549, 396]
Frame    138 | product-picked  | Conf: 0.7546 | Model: Fast Model                     | Box: [449, 105, 555, 374]
Frame    138 | product         | Conf: 0.2149 | Model: Fast Model                     | Box: [530, 197, 545, 227]
