======================================================================
ENSEMBLE SHOPLIFTING DETECTION LOG
======================================================================

Models: 2
Merge method: Weighted Box Fusion (WBF)
Model weights: [0.45, 0.55]
Confidence: 0.2

Total frames processed: 201
Total detections: 319

----------------------------------------------------------------------
DETECTIONS:
----------------------------------------------------------------------
Frame    123 | shoplifting     | Conf: 0.3026 | Box: [461, 86, 574, 361]
Frame    124 | normal          | Conf: 0.6439 | Box: [459, 94, 573, 362]
Frame    124 | shoplifting     | Conf: 0.3307 | Box: [461, 86, 574, 364]
Frame    125 | normal          | Conf: 0.6432 | Box: [459, 93, 573, 366]
Frame    125 | shoplifting     | Conf: 0.3367 | Box: [460, 87, 572, 369]
Frame    126 | normal          | Conf: 0.6329 | Box: [459, 92, 573, 367]
Frame    126 | shoplifting     | Conf: 0.3354 | Box: [460, 87, 571, 368]
Frame    127 | normal          | Conf: 0.6150 | Box: [459, 93, 573, 368]
Frame    127 | shoplifting     | Conf: 0.3329 | Box: [461, 86, 570, 369]
Frame    128 | normal          | Conf: 0.6407 | Box: [459, 92, 567, 372]
Frame    128 | shoplifting     | Conf: 0.2712 | Box: [461, 86, 567, 370]
Frame    129 | normal          | Conf: 0.7117 | Box: [458, 91, 564, 373]
Frame    129 | shoplifting     | Conf: 0.2082 | Box: [460, 88, 564, 370]
Frame    130 | normal          | Conf: 0.7282 | Box: [458, 88, 566, 382]
Frame    131 | normal          | Conf: 0.7550 | Box: [457, 89, 566, 388]
Frame    132 | normal          | Conf: 0.7370 | Box: [454, 96, 564, 391]
Frame    133 | normal          | Conf: 0.7106 | Box: [453, 95, 565, 392]
Frame    134 | normal          | Conf: 0.6487 | Box: [452, 94, 565, 389]
Frame    135 | normal          | Conf: 0.6002 | Box: [454, 100, 562, 387]
Frame    136 | normal          | Conf: 0.3455 | Box: [450, 118, 550, 399]
Frame    136 | product-picked  | Conf: 0.2326 | Box: [452, 95, 567, 374]
Frame    137 | product-picked  | Conf: 0.3464 | Box: [453, 97, 563, 374]
Frame    137 | normal          | Conf: 0.3040 | Box: [447, 128, 550, 396]
Frame    138 | product-picked  | Conf: 0.3396 | Box: [450, 106, 555, 374]
Frame    138 | normal          | Conf: 0.2520 | Box: [437, 122, 554, 394]
Frame    138 | shoplifting     | Conf: 0.1809 | Box: [435, 121, 554, 398]
Frame    138 | product         | Conf: 0.0967 | Box: [531, 198, 545, 227]
Frame    139 | product-picked  | Conf: 0.3446 | Box: [446, 108, 555, 374]
Frame    139 | shoplifting     | Conf: 0.2209 | Box: [432, 117, 555, 396]
Frame    139 | normal          | Conf: 0.2126 | Box: [433, 118, 554, 393]
Frame    139 | product         | Conf: 0.1162 | Box: [530, 202, 546, 231]
Frame    140 | normal          | Conf: 0.4070 | Box: [432, 136, 554, 395]
Frame    140 | product-picked  | Conf: 0.3599 | Box: [438, 111, 555, 386]
Frame    140 | product         | Conf: 0.1752 | Box: [528, 205, 545, 236]
Frame    141 | normal          | Conf: 0.3875 | Box: [430, 130, 554, 396]
Frame    141 | product-picked  | Conf: 0.3499 | Box: [436, 114, 554, 379]
Frame    141 | product         | Conf: 0.1385 | Box: [527, 208, 545, 239]
Frame    141 | shoplifting     | Conf: 0.1161 | Box: [436, 114, 555, 385]
Frame    142 | normal          | Conf: 0.4292 | Box: [422, 123, 557, 402]
Frame    142 | product-picked  | Conf: 0.2511 | Box: [428, 114, 551, 389]
